Platform,genre,avg.review,daily.listens,total.reviews,subscribers
Apple Podcasts,News & Culture,4.6,4429.91,859,637.15
Spotify,Comedy,4.79,4864.65,1000,669.36
Spotify,News & Culture,4.2,4418.47,603,451.24
BBC Sounds,News & Culture,4.68,4367.69,939,571.12
Apple Podcasts,News & Culture,4,4658.83,1067,547.08
Spotify,Documentary,3.72,4446.8,1201,855.63
Apple Podcasts,Comedy,4.78,4751.24,840,821.62
Apple Podcasts,Documentary,4.59,4199.44,911,785.41
Apple Podcasts,Comedy,4.38,4657.19,666,733.17
Apple Podcasts,News & Culture,4.77,4754.05,808,782.31
Apple Podcasts,News & Culture,4.07,4565.32,890,566.45
YouTube,Comedy,4.22,4637.04,799,624.25
Apple Podcasts,Comedy,4.62,4585.12,798,512.34
Apple Podcasts,News & Culture,4.34,4417.61,804,591.6
Apple Podcasts,News & Culture,4.53,4588,1119,606.4
Apple Podcasts,Documentary,4.53,4326.95,1058,837.05
Spotify,News & Culture,4.59,4414.72,966,476.74
Apple Podcasts,Comedy,4.61,5072.87,1132,553.99
Apple Podcasts,News & Culture,4.28,4465.84,795,488.43
Apple Podcasts,News & Culture,4.09,4497.31,938,354.58
Spotify,Comedy,4.52,4726.74,767,599.19
Apple Podcasts,Comedy,4.63,4669.66,1010,470.44
BBC Sounds,News & Culture,4.83,4569.97,896,860.51
Apple Podcasts,News & Culture,4.33,4316.27,1084,286.45
YouTube,Documentary,4.24,4311.22,963,851.02
Spotify,News & Culture,4.82,4551.28,862,598.08
Apple Podcasts,Comedy,4.27,4696.33,789,734.83
YouTube,News & Culture,4.33,4680.97,1013,556.19
Apple Podcasts,News & Culture,4.61,4485.26,680,541.33
Apple Podcasts,Comedy,4.03,4625.87,941,591.92
Apple Podcasts,Documentary,4.52,4406.87,1146,642.2
Spotify,Documentary,4.8,4277.17,756,959.16
Apple Podcasts,News & Culture,4.9,4501.34,1120,457.8
Spotify,Documentary,4.78,4317.52,1118,857.2
Apple Podcasts,Documentary,4.18,4281.62,913,823.03
Apple Podcasts,News & Culture,4.44,4201.3,1104,341.99
Apple Podcasts,News & Culture,4.86,4400.04,609,403.18
Apple Podcasts,News & Culture,4.48,4682.06,1094,597.21
Apple Podcasts,News & Culture,2.94,4803.34,946,607.21
BBC Sounds,Comedy,4.22,4597.97,886,599.85
Apple Podcasts,Comedy,4.33,4669.88,881,490.58
Spotify,News & Culture,4.62,4471.9,1093,180.9
Apple Podcasts,Comedy,4.33,4785.48,923,505.97
Apple Podcasts,Documentary,3.9,4212.05,794,503.62
Apple Podcasts,Documentary,4.83,4335.09,776,812.47
Apple Podcasts,Documentary,3.87,4553.77,1149,837.07
Apple Podcasts,News & Culture,4.27,4690.53,1201,218.96
Apple Podcasts,News & Culture,4.95,4592.78,833,790.8
Apple Podcasts,News & Culture,4.3,4516.45,1116,608.79
BBC Sounds,Documentary,4.35,4343.43,897,915.86
Apple Podcasts,News & Culture,4.66,4605.61,1167,243.98
Apple Podcasts,Documentary,4.45,4404.46,1009,927.74
Apple Podcasts,Comedy,4.44,4604.48,1009,522.56
Apple Podcasts,News & Culture,4.87,4585.36,822,631.52
Apple Podcasts,Comedy,5,4562.82,932,614.81
Apple Podcasts,Comedy,4.26,4602.55,933,482.43
Apple Podcasts,News & Culture,4,4406.03,1077,371.95
Apple Podcasts,Comedy,4.69,4653.13,916,565.74
Apple Podcasts,Documentary,4,4364.6,1088,824.85
Apple Podcasts,Documentary,4.74,4346.26,1195,808.38
Apple Podcasts,Documentary,4.43,4383.22,949,754.6
Apple Podcasts,Comedy,5,4723.94,634,699.34
Apple Podcasts,News & Culture,4.71,4221.61,911,456.34
Apple Podcasts,Documentary,4.53,4475.68,919,987.19
Apple Podcasts,Documentary,4.75,4422.27,960,954.42
Apple Podcasts,Documentary,4.33,4382.22,939,873.6
YouTube,News & Culture,4.39,4438.48,893,584.64
Apple Podcasts,News & Culture,4.67,4525.09,947,597.87
Apple Podcasts,Documentary,4.87,4283.64,1062,800.34
Apple Podcasts,Comedy,4.74,4608.93,994,567.01
Apple Podcasts,News & Culture,3.83,4760.11,1178,387.8
Apple Podcasts,Comedy,4.12,4575.66,1159,323.89
Spotify,News & Culture,4.47,4533.04,745,727.28
Apple Podcasts,News & Culture,4.07,4785.12,1226,622.32
Apple Podcasts,Comedy,5,4811.9,1108,844.97
Apple Podcasts,Comedy,4.81,4748.37,1216,500.83
Apple Podcasts,News & Culture,4.03,4624.47,1030,632.2
Apple Podcasts,Comedy,4.51,4738.82,1015,540.96
Apple Podcasts,Comedy,4.78,4773.7,1156,638.38
Apple Podcasts,Documentary,4.31,4429.5,1082,986.96
Apple Podcasts,Comedy,4.43,4785.19,825,786.32
Apple Podcasts,Comedy,4,4525.84,925,467.3
Apple Podcasts,Documentary,4.44,4425.5,1264,688.55
Spotify,Documentary,3.98,4270.77,1027,723.08
Apple Podcasts,Documentary,4.77,4324.84,1226,806.79
Apple Podcasts,Documentary,4.41,4354.02,1198,724.68
Spotify,News & Culture,4.57,4459.87,1086,523.37
YouTube,Documentary,4.2,4452.84,1271,919.56
Apple Podcasts,Documentary,4.73,4366.99,1186,870.41
Apple Podcasts,Comedy,3.47,4672.37,1132,502.94
Spotify,Documentary,4.28,4574.13,1079,1041.61
Apple Podcasts,Documentary,4.36,4260.53,668,862.47
Spotify,Documentary,4.26,4398.43,797,1090.06
Apple Podcasts,Documentary,4.27,4388.35,1220,733.7
Apple Podcasts,News & Culture,4.19,4451.56,825,706.85
Apple Podcasts,Comedy,4.57,4679.04,1098,760.12
Apple Podcasts,Comedy,4.3,4762.78,1098,556.06
Apple Podcasts,Comedy,4.13,4804.44,876,570.94
Apple Podcasts,Comedy,4.72,4834.64,816,731.21
Apple Podcasts,Comedy,4.61,4925.02,1073,706.55
Spotify,Comedy,4.66,4559.59,644,621.32
Apple Podcasts,Documentary,100,4317.5,0,962.97
Apple Podcasts,Documentary,4.37,4313.71,964,952.38
Apple Podcasts,Comedy,4.42,4563.8,933,485.42
Apple Podcasts,Documentary,4.5,4201.67,690,818.96
Spotify,News & Culture,5,4162.6,786,341.82
Apple Podcasts,Comedy,4.29,4642,825,563.83
Apple Podcasts,News & Culture,4.26,4298.5,751,434.48
Spotify,Comedy,4.45,4533.78,747,506.18
Apple Podcasts,Comedy,4,4636.22,805,536.43
Apple Podcasts,News & Culture,4.39,3969.88,843,19.05
Apple Podcasts,Comedy,4.47,4443.25,946,273.88
Apple Podcasts,Comedy,4.69,4751.88,1158,510.3
Apple Podcasts,Documentary,4.37,4451.75,1072,963.21
Apple Podcasts,Comedy,4.65,4800.75,1056,719.15
Spotify,News & Culture,4.4,4788.8,1198,581.34
Apple Podcasts,Comedy,4.51,4765.56,1107,534.4
Apple Podcasts,Documentary,4.28,4340.85,972,805.75
YouTube,Comedy,4.34,4611.37,991,464.78
Apple Podcasts,Comedy,4.44,4499.36,888,516.84
YouTube,Documentary,4.38,4424.78,1182,880.55
Apple Podcasts,Comedy,3.55,4706.08,986,407.29
BBC Sounds,Documentary,5,4268.05,1037,783.89
Apple Podcasts,Documentary,4.66,4324.48,835,848.97
YouTube,Comedy,3.57,4628.77,911,399.76
Spotify,Comedy,4.75,4722.88,737,678.46
YouTube,News & Culture,4.55,4353.52,861,335.64
Apple Podcasts,Comedy,4.46,4734.03,1015,426.15
Apple Podcasts,Documentary,4.18,4376.91,972,573.52
Apple Podcasts,News & Culture,4.69,4708.45,970,363.28
YouTube,Documentary,4.7,4428.54,1384,928.81
Apple Podcasts,Comedy,4.69,4490.11,708,404.82
Apple Podcasts,Comedy,4.17,4883.2,1148,597.51
Apple Podcasts,Comedy,4.68,4762.76,1064,713.83
Apple Podcasts,Comedy,2.66,4668.79,673,858.19
Apple Podcasts,News & Culture,4.07,4574.06,1011,512.15
YouTube,News & Culture,4.31,4381.14,859,610.42
YouTube,News & Culture,4.79,4557.78,912,504.31
Apple Podcasts,Documentary,5,4472.01,1106,894.99
Spotify,Documentary,5,4476.96,1313,826.14
Apple Podcasts,Documentary,4.4,4443.9,1025,875.07
Spotify,Documentary,4.62,4336.19,885,775.75
Apple Podcasts,News & Culture,4.34,4299.26,922,457.58
Spotify,Documentary,5,4348.3,1141,624.95
Apple Podcasts,Documentary,4.45,4553.35,1216,889.54
Apple Podcasts,Comedy,3.66,4891.99,1102,440.65
Apple Podcasts,Comedy,4.55,4605.41,1064,470.65
Apple Podcasts,Comedy,4.8,4731.73,1004,604.02
Apple Podcasts,News & Culture,4.05,4704.26,1162,500.73
YouTube,Comedy,4.61,4600.46,987,571.64
Apple Podcasts,Documentary,4.42,4392.6,1082,875.24
Apple Podcasts,News & Culture,4.5,4781.93,892,766.51
Apple Podcasts,News & Culture,4.63,4395.16,1068,722.97
Apple Podcasts,Comedy,0,4699.11,0,637.51
Apple Podcasts,Comedy,4.45,4656.78,941,685.78
Apple Podcasts,News & Culture,4.42,4662.83,924,480.52
Apple Podcasts,Documentary,5,4424.04,871,939.87
Spotify,Documentary,4.75,4440.61,1026,961.36
Spotify,Comedy,4.63,4750.6,1081,616.51
Spotify,News & Culture,4.33,4391.87,944,303.53
Apple Podcasts,News & Culture,4.22,4710.63,1153,622.56
Apple Podcasts,News & Culture,4.51,4650.17,1024,607.34
YouTube,Comedy,4.85,4560.69,819,595.33
Apple Podcasts,Documentary,4.19,4503.17,1198,883.63
Apple Podcasts,News & Culture,4.8,4270.95,734,544.33
Apple Podcasts,Documentary,4.6,4538.61,974,849.86
Apple Podcasts,Documentary,4.7,4203,1014,818.22
YouTube,Documentary,3.55,4409.74,1100,993.61
Apple Podcasts,Documentary,3.96,4260.47,848,785.12
Apple Podcasts,Documentary,4.64,4190.79,808,823.28
Apple Podcasts,Documentary,4.63,4269.15,1126,749.17
Apple Podcasts,Documentary,4.54,4305.17,680,826.4
Apple Podcasts,Documentary,3.83,4322.77,1046,690.06
Apple Podcasts,News & Culture,4.49,4208.23,842,486.23
Spotify,Comedy,4.48,4769.84,1111,529.38
Apple Podcasts,Comedy,3.5,4544.94,1025,605.71
Spotify,News & Culture,4.86,4551.3,850,372.13
Apple Podcasts,News & Culture,3.54,4353.82,1003,509.21
BBC Sounds,Comedy,4.66,4727.41,1255,283.67
Apple Podcasts,Comedy,4.54,4758.19,952,641.87
Apple Podcasts,Documentary,5,4274.81,796,870.04
YouTube,Comedy,4.58,4626.67,1121,544.72
YouTube,Documentary,4.43,4335.85,1086,740.07
Apple Podcasts,News & Culture,5,4499.39,1317,601.71
Apple Podcasts,Comedy,4.33,4771.47,1090,581.34
YouTube,Documentary,4.73,4430.35,1073,1019.04
Apple Podcasts,News & Culture,3.86,4585.08,1053,476.54
Apple Podcasts,Comedy,3.97,4644.59,865,431.89
Apple Podcasts,News & Culture,4.66,4450.94,832,704.91
Apple Podcasts,Comedy,3.87,4829.79,973,588.93
Apple Podcasts,Comedy,4.34,4925.36,1000,642.06
Apple Podcasts,Documentary,3.53,4514.59,1032,889.3
Apple Podcasts,News & Culture,4.29,4414.17,769,675.09
Apple Podcasts,Comedy,3.77,4588.95,977,371.51
Apple Podcasts,Comedy,4.59,4612.04,911,389.11
BBC Sounds,News & Culture,4.4,4401.79,1038,390.3
Apple Podcasts,Comedy,4.75,4491.82,1001,486.81
Spotify,Comedy,4.72,4797.14,887,635.47
Spotify,Documentary,4.4,4270.52,912,751.22
Apple Podcasts,Documentary,3.71,4187.54,1008,582.69
Apple Podcasts,News & Culture,3.35,4619.94,840,453.22
YouTube,News & Culture,4.5,4654.09,1009,592.24
Apple Podcasts,Comedy,4.25,4663.85,926,464.86
Apple Podcasts,Comedy,4.2,4866.46,990,429.96
Spotify,Comedy,4.3,4672.14,848,571.13
Apple Podcasts,News & Culture,4.22,4284.04,902,249.93
Apple Podcasts,News & Culture,4.62,4449.85,753,681.22
Apple Podcasts,News & Culture,4.5,4370.86,925,566.94
Apple Podcasts,Comedy,3.73,4547.83,900,432.27
Apple Podcasts,Comedy,4.66,4635.72,898,465.07
Spotify,Documentary,4.19,4310.73,970,814.11
Apple Podcasts,News & Culture,3.8,4475.6,1066,297.47
Apple Podcasts,News & Culture,4.46,4690.08,903,450.38
BBC Sounds,Comedy,4.78,4796.6,756,575.05
Apple Podcasts,News & Culture,4.54,4888.45,1042,684.48
Spotify,News & Culture,3.87,4336.25,1057,431.85
Apple Podcasts,Comedy,3.75,4718.57,906,540.77
Apple Podcasts,Documentary,4.92,4364.86,977,880.7
YouTube,Comedy,4.25,4624.25,808,678.02
Apple Podcasts,Documentary,4.45,4366.54,1015,571.56
Apple Podcasts,Documentary,4.12,4452.51,1103,861.54
Apple Podcasts,Documentary,3.93,4530.27,1170,713.14
Apple Podcasts,Documentary,4.74,4159.44,904,791.88
Apple Podcasts,News & Culture,4.25,4845.49,968,675.49
Apple Podcasts,News & Culture,3.86,4396.83,879,508.27
Spotify,News & Culture,4.85,4530.73,689,579.97
Apple Podcasts,News & Culture,4.42,4577.58,966,513.87
Apple Podcasts,Documentary,4.08,4376.81,924,783.04
Apple Podcasts,Documentary,4.04,4447.77,1170,1060.35
Apple Podcasts,Documentary,4.5,4170.75,756,791.17
Apple Podcasts,News & Culture,4.49,4456.96,864,357.14
Spotify,News & Culture,4.64,4383.72,1028,331.2
Spotify,Documentary,4.47,4362.89,1080,797.4
Apple Podcasts,Comedy,4.44,4760.77,1015,401.87
Apple Podcasts,Documentary,4.5,4274.23,944,1033.5
Apple Podcasts,Comedy,4,4729.06,954,619.86
Apple Podcasts,News & Culture,4.25,4453.26,841,322.78
Spotify,Documentary,4.35,4389.62,689,1027.72
Spotify,Documentary,4.38,4575.59,1015,1071.96
Spotify,Comedy,4.12,4705.15,1062,503.34
Apple Podcasts,Documentary,4.09,4407.36,1045,848.01
Spotify,Documentary,4.35,4238.28,718,691.77
Apple Podcasts,Comedy,4.73,4662.67,1046,596.62
Apple Podcasts,Documentary,4.09,4326,962,874.59
Spotify,News & Culture,4.21,4510.21,894,369.78
Apple Podcasts,Documentary,4.67,4346.74,1008,727.2
Apple Podcasts,Documentary,3.86,4362.94,1001,713.76
Spotify,Comedy,4.02,4865.24,1287,432.3
Apple Podcasts,Comedy,4.17,4740.59,827,500.87
BBC Sounds,News & Culture,4.42,4508.38,805,586.53
Apple Podcasts,Documentary,4,4296.11,715,863.82
BBC Sounds,News & Culture,4.33,4640.49,869,521.98
Apple Podcasts,Documentary,4.55,4283.08,803,742.69
Apple Podcasts,News & Culture,4.67,4481.57,1009,514.07
Apple Podcasts,Comedy,4.55,4522.34,891,548.72
Apple Podcasts,News & Culture,4.36,4376.76,813,588.96
YouTube,Comedy,4.82,4814.33,940,677.41
Apple Podcasts,News & Culture,4.38,4242.85,879,287.58
Spotify,Documentary,4.25,4479.1,1243,895.92
Apple Podcasts,Comedy,0,4701.88,0,390.38
Apple Podcasts,News & Culture,4.49,4134.5,645,372.4
Apple Podcasts,Documentary,4.77,4542.82,1352,1191.92
YouTube,Comedy,3.89,4580.5,1072,445.84
YouTube,Comedy,4.66,4578.07,732,478.98
Spotify,Comedy,4,4569.08,857,714.43
Apple Podcasts,Comedy,4.71,4458.69,944,318.02
Apple Podcasts,Documentary,4,4432.79,843,985.37
Apple Podcasts,Documentary,4.62,4388.4,1079,758.23
YouTube,News & Culture,4.01,4464.46,744,394.31
Apple Podcasts,News & Culture,4.71,4492.45,1106,511.42
YouTube,News & Culture,3.9,4389.79,1028,460.66
Apple Podcasts,News & Culture,4.14,4709.96,1189,646.23
Apple Podcasts,News & Culture,4.58,4367.71,798,395.18
Spotify,Comedy,4.34,4679.97,1107,369.29
YouTube,Documentary,4.87,4425.86,1073,783.09
Apple Podcasts,Comedy,3.97,4586.16,877,451.84
Apple Podcasts,Comedy,4.4,4719.5,1098,478.94
Spotify,Comedy,4.13,4679.64,1154,536.89
YouTube,Comedy,4.65,4614.76,1044,455.29
YouTube,Comedy,4.5,4771.85,857,790.24
Apple Podcasts,News & Culture,4.12,4331.87,759,360.96
Apple Podcasts,Documentary,4.48,4269.83,790,744.22
Spotify,News & Culture,4.8,4383.59,886,514.32
Apple Podcasts,Comedy,4.28,4523.97,788,685.86
Apple Podcasts,Comedy,4.22,4473.58,873,629.7
Apple Podcasts,News & Culture,4.44,4451.25,755,307.71
Apple Podcasts,Documentary,4.4,4362.98,909,830.82
Apple Podcasts,Documentary,5,4265.13,857,878.69
Spotify,News & Culture,4.42,4580.83,1091,362.6
Apple Podcasts,News & Culture,4.8,4863.37,1082,548.48
Apple Podcasts,News & Culture,4.5,4613.76,841,609.83
BBC Sounds,Comedy,4.18,4533.28,864,671.05
YouTube,Comedy,4.5,5187.64,1195,590.18
Apple Podcasts,Documentary,3.77,4367.91,1159,839.83
Apple Podcasts,Comedy,4.44,4701.92,958,697.95
Apple Podcasts,News & Culture,4.75,4724.35,991,688.57
YouTube,Documentary,4.47,4324.05,1019,898.45
Apple Podcasts,News & Culture,3.71,4571.17,1168,835.73
Apple Podcasts,Documentary,4.37,4243.48,982,478.56
Apple Podcasts,Documentary,4.22,4200.65,777,691.38
Spotify,Comedy,4.78,4716.62,811,594.34
Apple Podcasts,News & Culture,4.41,4513.65,798,621.25
Apple Podcasts,Comedy,4.18,4833.65,968,661.05
Apple Podcasts,Documentary,4.58,4242.27,904,683.82
Apple Podcasts,News & Culture,4.6,4642.82,1096,610.62
BBC Sounds,Documentary,4.17,4425.85,1024,857.59
Spotify,News & Culture,4.16,4344.9,895,700.23
YouTube,News & Culture,3.33,4438.94,871,520.47
Spotify,Documentary,4.32,4406.38,934,870.87
YouTube,Comedy,4.58,4902.18,993,644.71
Apple Podcasts,News & Culture,4.59,4525.62,991,638.84
Apple Podcasts,Comedy,5,4718.52,1078,382
Apple Podcasts,Comedy,4.9,4595.41,1044,475.31
YouTube,Documentary,4.8,4469.61,1032,936.17
Spotify,Documentary,4.23,4492.91,1216,616.52
Spotify,Comedy,4.56,4830.49,902,648.34
YouTube,Comedy,4.74,4761.37,1198,499.01
Apple Podcasts,News & Culture,4.72,4568.93,1022,565.8
Apple Podcasts,News & Culture,4.37,4587.63,897,586.08
Apple Podcasts,Comedy,4,4784.96,1149,724.87
Apple Podcasts,Comedy,3.66,4555.54,862,454.36
BBC Sounds,News & Culture,2.6,4418.48,833,270.97
Apple Podcasts,Comedy,4.06,4692.51,1035,678.37
Apple Podcasts,Comedy,4.33,4576.5,858,557.83
YouTube,Comedy,4.43,4608.41,1115,549.21
Apple Podcasts,News & Culture,4.8,4308.08,850,422.37
Apple Podcasts,Comedy,4,4796.57,1033,416.27
YouTube,Documentary,4.14,4324.86,903,588.47
BBC Sounds,News & Culture,4.8,4575.54,769,768.64
Apple Podcasts,Comedy,4.88,4404.59,795,663.88
Apple Podcasts,News & Culture,3.72,4466.48,878,487.36
Spotify,Comedy,4.1,4786.43,1255,578.24
Apple Podcasts,Documentary,4.7,4311.64,1015,941.75
Apple Podcasts,Comedy,3.88,4471.94,1037,431.56
Apple Podcasts,Comedy,5,4819.71,1174,776.1
Apple Podcasts,Documentary,4.14,4311.49,698,750.62
Apple Podcasts,News & Culture,4.62,4460.76,980,351.5
Spotify,News & Culture,4.01,4851.9,902,885.04
BBC Sounds,Comedy,4.22,4702.1,1115,517.91
Apple Podcasts,Documentary,4.33,4433.86,1140,809.87
Apple Podcasts,Documentary,100,4344.57,0,837.5
Apple Podcasts,Documentary,4.42,4439.79,905,877.46
Spotify,News & Culture,4.41,4574.86,817,485.59
Apple Podcasts,News & Culture,4.25,4362.94,749,384.24
Apple Podcasts,Documentary,4.64,4372.82,938,1012.54
Apple Podcasts,Comedy,3.41,4532.76,786,513.81
Apple Podcasts,Documentary,100,4197.58,0,714.73
Spotify,News & Culture,4.08,4772.49,1170,662.34
Apple Podcasts,Comedy,4.65,5008.65,860,523.09
Apple Podcasts,Documentary,4.74,4212.91,847,768.16
Apple Podcasts,Documentary,4.65,4451.89,1007,796.91
Apple Podcasts,News & Culture,4.62,4403.83,907,507.44
YouTube,Comedy,4.17,4746.32,1296,639.16
Spotify,News & Culture,3.54,4564.37,920,474.72
Apple Podcasts,News & Culture,5,4597.35,969,522.01
Apple Podcasts,News & Culture,4.3,4458.85,801,365.84
Apple Podcasts,Comedy,3.48,4382.85,548,497.13
Spotify,Comedy,4.11,4863,808,612.79
Apple Podcasts,Comedy,4.38,4819.45,786,580.67
Apple Podcasts,Documentary,3.88,4108.48,790,721.23
Apple Podcasts,Documentary,4.61,4432.2,889,991.4
Apple Podcasts,News & Culture,3.75,4531.11,904,521.1
Apple Podcasts,Documentary,4.33,4388.37,808,930.91
Apple Podcasts,Comedy,4.51,4588.65,799,632.01
Spotify,News & Culture,4.45,4520.68,736,578.96
Spotify,News & Culture,3.76,4758.1,1122,682.52
Apple Podcasts,News & Culture,4.25,4701.08,1307,572.02
Apple Podcasts,Documentary,5,4401.25,784,777.13
Apple Podcasts,Comedy,5,4796.69,978,523.12
Apple Podcasts,Documentary,5,4279.85,887,812.35
Apple Podcasts,Documentary,4.68,4248.15,772,804.68
Apple Podcasts,Comedy,4.93,4524.16,791,540.49
Apple Podcasts,News & Culture,4.66,4517.24,850,592.43
Apple Podcasts,News & Culture,4.51,4556.03,832,658.66
Apple Podcasts,News & Culture,4.56,4747.2,771,792.77
Spotify,Comedy,2.85,4729.71,899,616.85
Apple Podcasts,News & Culture,4.8,4609.43,1072,654.39
Apple Podcasts,Documentary,4.85,4382.16,1170,535.24
Spotify,News & Culture,4.41,4334.97,1013,492.81
Apple Podcasts,Documentary,4.76,4324.51,1121,791.37
Apple Podcasts,Comedy,4.84,4508.04,741,325.96
Apple Podcasts,News & Culture,4.45,4508.8,995,398.52
Apple Podcasts,Comedy,4.5,4747.96,821,642.37
Apple Podcasts,Documentary,4.11,4302.19,940,860.9
Apple Podcasts,News & Culture,4.82,4470.26,625,857.43
Apple Podcasts,News & Culture,4.07,4593.33,680,676.78
YouTube,News & Culture,5,4257.63,837,403.42
Apple Podcasts,News & Culture,4.11,4263.78,626,384.24
Apple Podcasts,News & Culture,4.55,4693.76,1036,570.11
YouTube,News & Culture,4.5,4441.48,982,448.63
Apple Podcasts,Comedy,4.59,4696.67,874,492.59
Apple Podcasts,Documentary,4.55,4381.28,1078,776.99
Apple Podcasts,News & Culture,4.15,4758.2,1021,508.34
YouTube,Comedy,4.03,4823.39,765,723.31
Apple Podcasts,Documentary,4.47,4411.06,877,805.1
Apple Podcasts,Documentary,4.42,4428.03,983,817.58
Apple Podcasts,Comedy,4.48,4643.8,1080,586.49
Apple Podcasts,News & Culture,4.88,4519.8,1006,667.65
Spotify,News & Culture,4.15,4585.87,1128,816.35
Apple Podcasts,News & Culture,3.96,4647.09,882,644.19
Spotify,News & Culture,4.42,4653.33,880,636.79
Apple Podcasts,Comedy,4.65,4564.52,794,508.68
Spotify,News & Culture,4.12,4677.26,1006,490.29
Apple Podcasts,Comedy,3.83,4886.78,1381,501.9
Spotify,Documentary,4.52,4232.61,887,715.94
YouTube,News & Culture,4.87,4407.41,773,577.29
Apple Podcasts,Comedy,4.59,4540.31,1052,378.4
Apple Podcasts,Comedy,4.56,4817.17,1209,570.81
Apple Podcasts,Documentary,4.42,4460.99,921,829.54
Apple Podcasts,Comedy,4.5,4602.63,826,557.61
Apple Podcasts,Documentary,4.5,4495.89,1209,831.45
Apple Podcasts,Documentary,4.2,4569.55,1186,867.27
Apple Podcasts,News & Culture,3.97,4581.61,878,588.4
Apple Podcasts,Comedy,3,4646.8,1216,380.32
Apple Podcasts,Comedy,4,4620.91,1206,400.36
Apple Podcasts,Documentary,4.69,4254.66,851,758
Apple Podcasts,Documentary,3.05,4595.22,1280,708.45
Apple Podcasts,Comedy,4.9,4798.12,928,675.93
Apple Podcasts,News & Culture,4,4560.29,894,598.37
Spotify,Documentary,2.66,4432.05,1021,821.49
Apple Podcasts,News & Culture,4.72,4283.73,804,338.71
Spotify,Documentary,4.21,4396.23,982,957.43
Apple Podcasts,Documentary,3.66,4369.89,828,1012.14
Apple Podcasts,News & Culture,4.18,4419.66,740,303.09
Apple Podcasts,Documentary,4.5,4292.22,994,648.13
Apple Podcasts,News & Culture,4.18,4384.81,870,570.78
Apple Podcasts,Comedy,4.75,4738.74,1231,428.83
Apple Podcasts,Comedy,3.32,4829.93,1021,398.01
Apple Podcasts,News & Culture,3.73,4775.87,1119,663.33
Spotify,Comedy,4.48,4763.26,820,516.29
Apple Podcasts,News & Culture,4.77,4351.14,924,467.81
Apple Podcasts,Documentary,4.78,4306.5,1107,928.83
Apple Podcasts,News & Culture,4.16,4536.03,964,388.26
YouTube,Comedy,5,4455.14,812,435.64
Apple Podcasts,Comedy,4.23,4689.12,646,501.82
Apple Podcasts,Documentary,4.4,4273.67,1022,641.22
Apple Podcasts,Comedy,4.21,4659.07,897,574.44
Apple Podcasts,News & Culture,4.49,4527.73,741,730.51
Apple Podcasts,News & Culture,3.26,4423.53,827,605.29
Apple Podcasts,Comedy,4.34,4699.12,909,709.29
Apple Podcasts,News & Culture,4.49,4679.06,682,512.27
Apple Podcasts,News & Culture,4.94,4385.25,578,416.79
Apple Podcasts,Comedy,4.32,4979.07,1038,759.28
Spotify,Documentary,4.75,4323.37,1033,834.14
Apple Podcasts,News & Culture,3.85,4651.4,956,482.86
Apple Podcasts,News & Culture,4.79,4749.72,1019,568.66
Spotify,Documentary,4.04,4492.33,1052,877.82
YouTube,Documentary,4.86,4416.37,1206,756.07
Apple Podcasts,Comedy,4.6,4762.55,1000,471.64
YouTube,Documentary,3.66,4527.89,978,964.22
Apple Podcasts,News & Culture,4.09,4361.37,741,574.89
Apple Podcasts,Documentary,4.94,4466.88,1091,942.85
Apple Podcasts,Comedy,4.8,4771.36,1166,559.04
Apple Podcasts,Comedy,4.04,4802.96,1156,529.61
Apple Podcasts,Documentary,4.8,4290.93,932,780.44
Apple Podcasts,Documentary,4.77,4327.84,1100,746.8
Apple Podcasts,Comedy,4.74,4640.64,785,336.5
Apple Podcasts,News & Culture,5,4445.5,950,199.04
Apple Podcasts,Comedy,4.52,4694.51,1073,550.54
Spotify,Documentary,4.74,4486.18,1128,849.93
Apple Podcasts,Comedy,4.55,4610.08,808,721.18
Apple Podcasts,Documentary,4.75,4334.61,1118,984.25
Apple Podcasts,Comedy,4.39,4661.21,937,426.09
Apple Podcasts,News & Culture,4.81,4443.15,1076,648.51
Apple Podcasts,Documentary,4.18,4437.6,1130,995.11
Apple Podcasts,Documentary,4.44,4198.51,887,811.33
Apple Podcasts,Comedy,4.21,4846.81,1063,547.58
Apple Podcasts,News & Culture,4.03,4679.68,1227,358.17
Apple Podcasts,Comedy,4.65,4642.06,867,471.74
YouTube,Comedy,4.04,4508.64,694,522.96
Apple Podcasts,Comedy,4.85,4536.83,925,684.45
YouTube,Documentary,4.15,4161.19,856,717.63
Spotify,News & Culture,4.78,4550.2,934,588.89
Apple Podcasts,News & Culture,4.6,4600.17,1135,516.1
Apple Podcasts,Comedy,3.5,4523.2,787,572.5
Apple Podcasts,News & Culture,4.7,4470.42,1180,543.24
YouTube,Comedy,4.28,4677.29,959,437.74
Apple Podcasts,News & Culture,4.57,4461.08,680,657.55
Apple Podcasts,News & Culture,4.61,4393.29,780,824.46
Apple Podcasts,News & Culture,3,4364.66,1014,419.76
Apple Podcasts,Comedy,4.25,4722.61,1191,513.2
Apple Podcasts,News & Culture,3.96,4487.92,791,621.51
Apple Podcasts,Documentary,4.48,4183.47,829,689.11
Apple Podcasts,News & Culture,4.5,4247.36,926,243.7
Apple Podcasts,News & Culture,4.4,4507.61,759,393.58
Apple Podcasts,Comedy,4.13,4609.41,993,395.82
Apple Podcasts,News & Culture,4.02,4438.6,886,709.05
Apple Podcasts,Documentary,4.74,4412.4,1051,773.51
Apple Podcasts,Comedy,4.38,4715.68,907,742.88
